,index,cost,year(s)
0,Ontop-PostgreSQL,0.432076,1
1,Apache Jena Fuseki,1.5353303999999999,1
2,GraphDB,4.6203268,1
3,Ontop-PostgreSQL,0.3597974,2
4,Apache Jena Fuseki,1.5258996,2
5,GraphDB,4.6894354,2
6,Ontop-PostgreSQL,0.3644218,3
7,Apache Jena Fuseki,1.5428406,3
8,GraphDB,4.532698000000001,3
9,Ontop-PostgreSQL,0.38893379999999994,4
10,Apache Jena Fuseki,1.5846336,4
11,GraphDB,4.344407600000001,4
12,Ontop-PostgreSQL,0.373236,5
13,Apache Jena Fuseki,1.5784334,5
14,GraphDB,4.3254314,5
15,Ontop-PostgreSQL,0.37886600000000004,6
16,Apache Jena Fuseki,1.5396725999999998,6
17,GraphDB,5.8198308,6
18,Ontop-PostgreSQL,0.3832578,7
19,Apache Jena Fuseki,1.5599378000000002,7
20,GraphDB,6.3816192,7
21,Ontop-PostgreSQL,0.41069199999999995,8
22,Apache Jena Fuseki,1.5735538,8
23,GraphDB,8.1744754,8
24,Ontop-PostgreSQL,0.41217519999999996,9
25,Apache Jena Fuseki,1.5560862,9
26,GraphDB,6.3414664,9
27,Ontop-PostgreSQL,0.4240486,10
28,Apache Jena Fuseki,1.5668222,10
29,GraphDB,6.399824199999999,10
