,index,cost,year(s),num_variable
0,Ontop-PostgreSQL,0.3428238,1,1
1,Apache Jena Fuseki,1.4689642,1,1
2,GraphDB,5.3360482,1,1
3,Ontop-PostgreSQL,0.3605894,2,1
4,Apache Jena Fuseki,1.4885802,2,1
5,GraphDB,5.3507986,2,1
6,Ontop-PostgreSQL,0.37211999999999995,3,1
7,Apache Jena Fuseki,1.5138289999999999,3,1
8,GraphDB,5.537407,3,1
9,Ontop-PostgreSQL,0.3861398,4,1
10,Apache Jena Fuseki,1.531792,4,1
11,GraphDB,5.714960400000001,4,1
12,Ontop-PostgreSQL,0.3987926,5,1
13,Apache Jena Fuseki,1.5410815999999998,5,1
14,GraphDB,6.153496800000001,5,1
15,Ontop-PostgreSQL,0.38447180000000003,6,1
16,Apache Jena Fuseki,1.5565431999999997,6,1
17,GraphDB,6.081879,6,1
18,Ontop-PostgreSQL,0.4135898,7,1
19,Apache Jena Fuseki,1.577727,7,1
20,GraphDB,6.5848369999999985,7,1
21,Ontop-PostgreSQL,0.42626240000000004,8,1
22,Apache Jena Fuseki,1.5673266,8,1
23,GraphDB,6.8066249999999995,8,1
24,Ontop-PostgreSQL,0.41716880000000006,9,1
25,Apache Jena Fuseki,1.5775784,9,1
26,GraphDB,6.871747399999999,9,1
27,Ontop-PostgreSQL,0.42691080000000003,10,1
28,Apache Jena Fuseki,1.5709536,10,1
29,GraphDB,7.3823302,10,1
