,index,cost,year(s),num_variable
0,Ontop-PostgreSQL,0.3547164,1,2
1,Apache Jena Fuseki,0.7055328,1,2
2,GraphDB,1.4164252000000002,1,2
3,Ontop-PostgreSQL,0.35797100000000004,2,2
4,Apache Jena Fuseki,0.6924152,2,2
5,GraphDB,1.6062604,2,2
6,Ontop-PostgreSQL,0.3731356,3,2
7,Apache Jena Fuseki,0.693588,3,2
8,GraphDB,1.7547951999999998,3,2
9,Ontop-PostgreSQL,0.37474779999999996,4,2
10,Apache Jena Fuseki,0.6895272,4,2
11,GraphDB,1.7647292,4,2
12,Ontop-PostgreSQL,0.3728682,5,2
13,Apache Jena Fuseki,0.7098012,5,2
14,GraphDB,1.6577563999999998,5,2
15,Ontop-PostgreSQL,0.3995832,6,2
16,Apache Jena Fuseki,0.6953958,6,2
17,GraphDB,2.024013,6,2
18,Ontop-PostgreSQL,0.3829638,7,2
19,Apache Jena Fuseki,0.675607,7,2
20,GraphDB,2.144557,7,2
21,Ontop-PostgreSQL,0.38228500000000004,8,2
22,Apache Jena Fuseki,0.6882874,8,2
23,GraphDB,2.1347232,8,2
24,Ontop-PostgreSQL,0.4008242,9,2
25,Apache Jena Fuseki,0.6760105999999999,9,2
26,GraphDB,2.3953442,9,2
27,Ontop-PostgreSQL,0.3728414,10,2
28,Apache Jena Fuseki,0.705948,10,2
29,GraphDB,2.2349433999999997,10,2
30,Ontop-PostgreSQL,0.4974266,1,3
31,Apache Jena Fuseki,1.0496421999999999,1,3
32,GraphDB,1.3909178,1,3
33,Ontop-PostgreSQL,0.5137832,2,3
34,Apache Jena Fuseki,1.032599,2,3
35,GraphDB,1.5352080000000001,2,3
36,Ontop-PostgreSQL,0.5174042,3,3
37,Apache Jena Fuseki,1.0365302,3,3
38,GraphDB,1.6235389999999998,3,3
39,Ontop-PostgreSQL,0.5145516,4,3
40,Apache Jena Fuseki,1.0417314000000002,4,3
41,GraphDB,2.0965228,4,3
42,Ontop-PostgreSQL,0.519799,5,3
43,Apache Jena Fuseki,0.988323,5,3
44,GraphDB,2.0711922,5,3
45,Ontop-PostgreSQL,0.5181212,6,3
46,Apache Jena Fuseki,0.9964786000000002,6,3
47,GraphDB,2.0079956,6,3
48,Ontop-PostgreSQL,0.5129672000000001,7,3
49,Apache Jena Fuseki,0.9965453999999999,7,3
50,GraphDB,2.3268136000000004,7,3
51,Ontop-PostgreSQL,0.5216314,8,3
52,Apache Jena Fuseki,0.9973032,8,3
53,GraphDB,2.4887091999999997,8,3
54,Ontop-PostgreSQL,0.521307,9,3
55,Apache Jena Fuseki,1.0057,9,3
56,GraphDB,2.3684294,9,3
57,Ontop-PostgreSQL,0.5236808,10,3
58,Apache Jena Fuseki,1.0102104,10,3
59,GraphDB,2.431151,10,3
