,index,cost,year(s),num_variable
0,Ontop-PostgreSQL,0.4863242,1,2
1,Apache Jena Fuseki,2.9404018,1,2
2,GraphDB,4.8332602,1,2
3,Ontop-PostgreSQL,0.5053658,2,2
4,Apache Jena Fuseki,3.0894184000000005,2,2
5,GraphDB,5.706119800000001,2,2
6,Ontop-PostgreSQL,0.5133656,3,2
7,Apache Jena Fuseki,3.0907282,3,2
8,GraphDB,5.3445468,3,2
9,Ontop-PostgreSQL,0.5406874,4,2
10,Apache Jena Fuseki,3.288268,4,2
11,GraphDB,7.839043799999999,4,2
12,Ontop-PostgreSQL,0.5422906000000001,5,2
13,Apache Jena Fuseki,3.2386311999999995,5,2
14,GraphDB,6.8608622,5,2
15,Ontop-PostgreSQL,0.5576922,6,2
16,Apache Jena Fuseki,3.3364109999999996,6,2
17,GraphDB,8.143897200000001,6,2
18,Ontop-PostgreSQL,0.592934,7,2
19,Apache Jena Fuseki,3.4269695999999996,7,2
20,GraphDB,10.9765418,7,2
21,Ontop-PostgreSQL,0.592411,8,2
22,Apache Jena Fuseki,3.3736249999999997,8,2
23,GraphDB,9.853281200000001,8,2
24,Ontop-PostgreSQL,0.5761807999999999,9,2
25,Apache Jena Fuseki,3.3524460000000005,9,2
26,GraphDB,9.013164399999999,9,2
27,Ontop-PostgreSQL,0.5977614,10,2
28,Apache Jena Fuseki,3.4749944,10,2
29,GraphDB,10.27586,10,2
30,Ontop-PostgreSQL,0.6294202,1,3
31,Apache Jena Fuseki,4.2936814,1,3
32,GraphDB,5.152279,1,3
33,Ontop-PostgreSQL,0.6551316,2,3
34,Apache Jena Fuseki,4.372390399999999,2,3
35,GraphDB,5.513386800000001,2,3
36,Ontop-PostgreSQL,0.6602918,3,3
37,Apache Jena Fuseki,4.5126706,3,3
38,GraphDB,7.0748908,3,3
39,Ontop-PostgreSQL,0.6917914,4,3
40,Apache Jena Fuseki,4.4905472,4,3
41,GraphDB,6.754953400000001,4,3
42,Ontop-PostgreSQL,0.7182458,5,3
43,Apache Jena Fuseki,4.746202599999999,5,3
44,GraphDB,10.0281734,5,3
45,Ontop-PostgreSQL,0.7444338,6,3
46,Apache Jena Fuseki,4.7040768,6,3
47,GraphDB,9.3929228,6,3
48,Ontop-PostgreSQL,0.7228704,7,3
49,Apache Jena Fuseki,4.6189076,7,3
50,GraphDB,9.2080252,7,3
51,Ontop-PostgreSQL,0.7460760000000001,8,3
52,Apache Jena Fuseki,4.772717399999999,8,3
53,GraphDB,10.403073999999998,8,3
54,Ontop-PostgreSQL,0.7478588,9,3
55,Apache Jena Fuseki,4.6146964,9,3
56,GraphDB,9.162849399999999,9,3
57,Ontop-PostgreSQL,0.8101718,10,3
58,Apache Jena Fuseki,5.252675399999999,10,3
59,GraphDB,16.6938362,10,3
