time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1571040000,24947,34.0,null,81.4,null,1005.134,null,7.515,null,7.515,null
1571022000,24947,33.0,null,85.1,null,1006.46,null,2.335,null,2.335,null
1571014800,24947,33.0,null,86.934,null,1006.787,null,3.264,null,3.264,null
1571047200,24947,35.0,null,80.466,null,1004.405,null,5.392,null,5.392,null
1571032800,24947,34.0,null,82.6,null,1005.39,null,7.866,null,7.866,null
1571061600,24947,35.0,null,79.9,null,1003.467,null,2.289,null,2.289,null
1571050800,24947,35.0,null,80.0,null,1004.204,null,4.195,null,4.195,null
1571065200,24947,35.675,null,79.2,null,1003.216,null,2.033,null,2.033,null
1571025600,24947,33.0,null,84.267,null,1006.222,null,2.301,null,2.301,null
1571011200,24947,33.0,null,87.733,null,1006.88,null,3.709,null,3.709,null
1571058000,24947,35.0,null,80.0,null,1003.648,null,2.848,null,2.848,null
1571043600,24947,34.7,null,81.0,null,1004.76,null,6.265,null,6.265,null
1571036400,24947,34.0,null,82.0,null,1005.174,null,8.579,null,8.579,null
1571018400,24947,33.0,null,86.0,null,1006.652,null,3.081,null,3.081,null
1571054400,24947,35.0,null,80.0,null,1003.762,null,3.574,null,3.574,null
1571029200,24947,33.1,null,83.434,null,1005.843,null,3.411,null,3.411,null
1570896000,24947,35.067,null,80.0,null,1003.102,null,7.506,null,7.506,null
1570874400,24947,34.0,null,79.0,null,1004.355,null,7.226,null,7.226,null
1570892400,24947,34.434,null,80.334,null,1003.441,null,6.066,null,6.066,null
1570878000,24947,34.666,null,79.434,null,1004.279,null,3.591,null,3.591,null
1570903200,24947,34.433,null,85.233,null,1003.5,null,50.976,null,70.824,null
1570885200,24947,34.233,null,80.7,null,1003.654,null,6.2,null,6.2,null
1570838400,24947,34.0,null,84.934,null,1003.072,null,1.647,null,1.647,null
1570870800,24947,34.733,null,79.8,null,1004.425,null,9.155,null,9.178,null
1570921200,24947,33.0,null,87.267,null,1003.167,null,6.527,null,6.527,null
1570888800,24947,34.933,null,81.1,null,1003.506,null,5.678,null,5.678,null
1570845600,24947,34.0,null,83.267,null,1003.173,null,1.209,null,1.209,null
1570842000,24947,34.0,null,84.0,null,1003.134,null,1.256,null,1.256,null
1570849200,24947,34.0,null,82.8,null,1003.123,null,0.978,null,0.978,null
1570906800,24947,33.233,null,87.633,null,1003.641,null,31.661,null,34.223,null
